stage,architecture,detector_seed,arm,fit_role,C,validation_AP,test_AP,n_iter,convergence_warning,hit_max_iter,converged,coef_sha256,intercept_sha256
s2,xlstm,33,H+O1r+I,selected_final,0.001,0.9424326652327144,0.9336136608935951,179,False,False,True,8d052e5beaca8c2c03cbac40de7593cd372258e86e21babc94f2d4f57060ff33,dfaaec2072c63888d88c548b828e6e69594ac343517f7a5d10f3470118e31652
s2,lstm,11,H+O1r,validation_candidate,0.001,0.9364499560016551,,222,False,False,True,1223dca1e59867c4247cd23eb209214222dcf8fab1b2e4b2c8965328899b3829,b31d2be285745bc665444ac79034ec387a83702883d34f6b9b23cdf8b0f8e396
s2,lstm,11,H+O1r,validation_candidate,0.01,0.9378151653394626,,541,False,False,True,d6b1da528f9c38bb1007a2776dd9e01d4f61ae60ef142f0c81ae05372c891d45,c8b49aa236f9426b9d83670e71653949ff709facb5c3dad824e757df0d36f8c3
s2,lstm,11,H+O1r,validation_candidate,0.1,0.9390516679667472,,1177,False,False,True,4e110c5c2ed4787eebd8135d8376849bca33dfb09a110d772d421d713d8a23ba,fec785cf2a3cb4023f340985eceab93d2ad29d63d71fd43a53b04049db8a5f22
s2,lstm,11,H+O1r,validation_candidate,1.0,0.9397020394690928,,2178,False,False,True,1ac50edaef045dbe749dff89714ed35936bd186aa87adca5a050110b4fe1f4b8,f2c9bf6238a1960333e2df3666f94e084cb3e635c320b99bdbe7f35fea4733e6
s2,lstm,11,H+O1r,validation_candidate,10.0,0.9396166900549063,,2861,False,False,True,604c6ab21cf44726aca0bf4341c7ef2dc0fca872fd9a9d81544fc5bf10035895,e290c169eaec76716224427ebf649a693e0a5967e9644c957574d65530354488
s2,lstm,11,H+O1r,validation_candidate,100.0,0.9395018124014618,,3420,False,False,True,9689a21f0475aba818b92d7f146072409fe633c34a18ff04505c5617b9e74bc4,76d9025e4126cc05a6357050feefa41160a1be49f6f54799fd0ff431e1bfdafd
s2,lstm,11,H+O1r,selected_final,1.0,0.9397020394690928,0.9336027337911497,2178,False,False,True,1ac50edaef045dbe749dff89714ed35936bd186aa87adca5a050110b4fe1f4b8,f2c9bf6238a1960333e2df3666f94e084cb3e635c320b99bdbe7f35fea4733e6
s2,lstm,11,H+O1r+I,validation_candidate,0.001,0.9496921169319364,,186,False,False,True,c74d6036e4a84a89ceec2c47c2a06b4443c883bd48623d695b6f0d0b52218942,18950bfc501769fd0ce6f15411284956385085d48a33cba80d97590e7928466a
s2,lstm,11,H+O1r+I,validation_candidate,0.01,0.9489979408314365,,447,False,False,True,c666214cb12d6aa4023bed42a8e3d836455bb83f6952d75e3ccdc712a6506faf,43e8a2cf1687edda3fff1c8b6a492e5a870028806ed7543ba2801fdbb9212a97
s2,lstm,11,H+O1r+I,validation_candidate,0.1,0.9489497131218869,,969,False,False,True,3f6d89e88ed550ef78b3c59c30dd57d32ad3e9e735d2c4b93a3afda3e3b76866,997b8a57c716139fdf72a6fca34e1f7bfe7eb1a84e22745da2b2599a4ed69d86
s2,lstm,11,H+O1r+I,validation_candidate,1.0,0.9489879623253394,,1750,False,False,True,57da2625aba459dec55646501e30d81f36e7d75dde4e6a776e533471727ff8d1,4ab65fd6b40e7b24630c5eddef61b4097a0f53a4ff9b9967d7f04405324d8b68
s2,lstm,11,H+O1r+I,validation_candidate,10.0,0.9489847993055694,,2220,False,False,True,b3bf70b7916970f40922856e773ccdc966f8ccf280c8735eb88a39876db27b30,2151f675e72698c0d674956e080ea908103ef786d32a7d567659c967a2c937b0
s2,lstm,11,H+O1r+I,validation_candidate,100.0,0.9488626906784052,,2407,False,False,True,ae7fe8dc293d020fbc8f3705f26e56b0188bdfcef8cbf20e77d01f6f32818b4e,fa7acbb94082f4bd330d6fcf459433804ec98f3383f7c60d5ddb04258ab7668f
s2,lstm,11,H+O1r+I,selected_final,0.001,0.9496921169319364,0.9449272752121911,186,False,False,True,c74d6036e4a84a89ceec2c47c2a06b4443c883bd48623d695b6f0d0b52218942,18950bfc501769fd0ce6f15411284956385085d48a33cba80d97590e7928466a
s2,lstm,22,H+O1r,validation_candidate,0.001,0.9370016631955906,,205,False,False,True,a1886a79607dbabf14717a34a6c938ef6f7cae4455e36f6658a87e104b1370bd,72d42ac1bbe9d6fd05125345b62d9b3ba11f2c1b0bee3e1d82a3c34a5f1c48ed
s2,lstm,22,H+O1r,validation_candidate,0.01,0.9384748525181466,,479,False,False,True,d2697292ba092dfc945cdf0836599502653f0c4c95ac072765a37ab5c3988b55,4bec860ede27d739adfb8d66c756d093bed1d83bf107780e7fb39be68eb97755
s2,lstm,22,H+O1r,validation_candidate,0.1,0.9406656967584712,,1113,False,False,True,c80e93f57f22eb32459f3a10d07e746e7a697a5d6c0c99ace596465e3da5aa6d,da38db234722993e5339b5eb92938f7794ef941952f72dd8509e154ebb44690c
s2,lstm,22,H+O1r,validation_candidate,1.0,0.9422919190011619,,1891,False,False,True,53184014e0e2dba1078c795c47c3fc2119600f014e8be57c4f72099e2b2dd81d,8b1bc438c1b17a5c37ce76aa13b3d09135cce790fb642f521dbe35ecf8447b88
s2,lstm,22,H+O1r,validation_candidate,10.0,0.9426320066550015,,2149,False,False,True,2bb45f50b6cf6023c1e13da931c7531ec7e5039d6456492b23dabfc70fd8ed04,1c2b356b66d0fc85744522d82423521756bdef7b80e4f2f68a69fd79d54e364e
s2,lstm,22,H+O1r,validation_candidate,100.0,0.9425874303229027,,1944,False,False,True,1143b2fc19d518f3d658b4ef04d1fa2a736f99830ea03c6c93136757b1c66e91,2e40928031c4a34e3613a73166cb75b2e257f0251ff19b91a6484917b715b2dc
s2,lstm,22,H+O1r,selected_final,10.0,0.9426320066550015,0.9342295953564107,2149,False,False,True,2bb45f50b6cf6023c1e13da931c7531ec7e5039d6456492b23dabfc70fd8ed04,1c2b356b66d0fc85744522d82423521756bdef7b80e4f2f68a69fd79d54e364e
s2,lstm,22,H+O1r+I,validation_candidate,0.001,0.9517278474179354,,198,False,False,True,b92cd3147b4572cb5c922a5729b1525a6e09b9d6a2d6523b37b6f8b9ae78abef,2bca00bb6a08865f3b7f5c3431a86fc2ed8fade614c54ae03f3cec46a1f05a42
s2,lstm,22,H+O1r+I,validation_candidate,0.01,0.9509123293746953,,470,False,False,True,3399f1ab6fda40ec620550ce80de314a0e784a9ad13896ede54484c74dd0433d,0e57db3646c3619e3d41487ee555ec61af87d72b5a822fb1e1279804ddbde61c
s2,lstm,22,H+O1r+I,validation_candidate,0.1,0.9510472836814927,,951,False,False,True,45ac3187ecbbaff0a51799c426ad518bc909c1ff47e0a933c990c156dfcb8087,0ce04a849fba8300c3983ed75cead0ba85528b936c29cdaeb2bcaebc7577c4fd
s2,lstm,22,H+O1r+I,validation_candidate,1.0,0.9511484232395118,,1480,False,False,True,5c25fcf89a195224e654e57c3c89b37c76f96364d98efb02c3d5cf1b02899e47,e9abceaf0b3c89247c06948d8ca345879b7b87e54706f7d77e1d9404ee90f83c
s2,lstm,22,H+O1r+I,validation_candidate,10.0,0.9515269706225116,,1989,False,False,True,0182f21bc3ddcce571932e7539669ddb5e532ad40e360b9f02e9e6617b2cc3f7,59846856765bdefbf899788878d1e93b00898bab16a5dafbf1719d3928bcac7c
s2,lstm,22,H+O1r+I,validation_candidate,100.0,0.951310001900065,,1642,False,False,True,a80f49a8f9c7d4e47a736fb93c9966aebdc417d25cb8b5c8ed23f3eb3c6ee4d0,aa803bfa30bbf6ed362ff184d21d490d27ee541ffa37435eeb4a2337ea176fed
s2,lstm,22,H+O1r+I,selected_final,0.001,0.9517278474179354,0.9461740337340837,198,False,False,True,b92cd3147b4572cb5c922a5729b1525a6e09b9d6a2d6523b37b6f8b9ae78abef,2bca00bb6a08865f3b7f5c3431a86fc2ed8fade614c54ae03f3cec46a1f05a42
s2,lstm,33,H+O1r,validation_candidate,0.001,0.9407761541608282,,210,False,False,True,9988ef20979d015f1fa66a0d30be55055f2e2ecc09c219a6ca8308bbb996f67e,af1a88bfde1b6a06971b300852fa0ecb4eb108723486198f9bd52ba03d5c4f90
s2,lstm,33,H+O1r,validation_candidate,0.01,0.9429761914568536,,483,False,False,True,c0d9bd50c7f5d8d319210b1db3919e20ad6274def239ff7837e0b6c036d368f7,834acc9b7bbbfdb0359912cd5d3eb2950a36fffb424bffe35b5cf268bcf81528
s2,lstm,33,H+O1r,validation_candidate,0.1,0.9453062440444254,,1068,False,False,True,71dc4a0fbc1f8551ff01bc025b660b963a417bc6067f8fa4ac053b9071c1f0d7,a953ac97eb9a85c2336335a2e3d8384953ed93410835700e174f1f3e585906cd
s2,lstm,33,H+O1r,validation_candidate,1.0,0.9458860310372804,,1837,False,False,True,c828c9e7cdcf42231f3d8ed3653c1eeb8ab756c05fcd4e2d546f26d1aef83658,178cd3fbbd75fd76fd0cd31440b39e1cb207fac10ccb4041920c3494e882aa95
s2,lstm,33,H+O1r,validation_candidate,10.0,0.9457937780355726,,1797,False,False,True,8d954e0a9d7fc2dd18d878407982834847986e1c137b503c347ae972451e7e59,dcff5c6e64aed25a8cd50d9ab6fc56a2fa1826a4260f2936af3d3946fde183b7
s2,lstm,33,H+O1r,validation_candidate,100.0,0.9457139206673683,,2073,False,False,True,f14a5fa260db453d2dde2ba758a49c3a1c71f743ef413ddbbc3c9946e7cefe60,b53a75e266e771dc5ec18b16779bf95474fcf8a5a657a5531e0b305df49c571e
s2,lstm,33,H+O1r,selected_final,1.0,0.9458860310372804,0.9396971981612116,1837,False,False,True,c828c9e7cdcf42231f3d8ed3653c1eeb8ab756c05fcd4e2d546f26d1aef83658,178cd3fbbd75fd76fd0cd31440b39e1cb207fac10ccb4041920c3494e882aa95
s2,lstm,33,H+O1r+I,validation_candidate,0.001,0.9538940004217635,,167,False,False,True,03cd42511971665a478464ca02929fbdbf5b6bfe6cad861bf770e62cbd5210da,805af4ad59302d2cbbdd8cc4724c4e025e99be3ded2a4b4cd1133f83662d2c84
s2,lstm,33,H+O1r+I,validation_candidate,0.01,0.9536088335672833,,415,False,False,True,14795207d524067d48ddf4e4e2232bf7d545e44a6a887b6d38412e8bf26d1242,cd138ead0a8539479ce1d8596582af7221c6c0f1beef4485b831ec964547f08b
s2,lstm,33,H+O1r+I,validation_candidate,0.1,0.9541912066462144,,949,False,False,True,72d1645c50378666f8a7e41acba435de38337216977d11708e8be0b5309967aa,f29e0e0f2d0989019d8c9b58c50a85390dd60fdc692ae64181faecb6eb17d471
s2,lstm,33,H+O1r+I,validation_candidate,1.0,0.9542237504101503,,1634,False,False,True,05f93f4daf0bd81b41dd54ab90d25ba97e1a4a9e13b9dfbcdb16cfd968dd693e,ec3ebbdd54fa532e790448e76eafe3884a44041566522bb1f6ecfae1238080b7
s2,lstm,33,H+O1r+I,validation_candidate,10.0,0.9539326307273399,,1955,False,False,True,d8b62836012eef84bb87547da1dec788cf6f40e7b11948ae3118006c83f7faec,119fad15f4b3172ac42f5fd615a91fdfc30d33912f39231b9f79843ed32e8f27
s2,lstm,33,H+O1r+I,validation_candidate,100.0,0.953862950325119,,1874,False,False,True,6f31380489fd0742179047a2d10ca55fa63ab4d0511ea9669c520afb21bc72ba,5a428c2d65b041671db80ba598cde3c09ab5e0c6f723a1968eddb5743aec7f22
s2,lstm,33,H+O1r+I,selected_final,1.0,0.9542237504101503,0.9487250912352423,1634,False,False,True,05f93f4daf0bd81b41dd54ab90d25ba97e1a4a9e13b9dfbcdb16cfd968dd693e,ec3ebbdd54fa532e790448e76eafe3884a44041566522bb1f6ecfae1238080b7
